Student,LPIPS,SSIM
113590040.png,0.0,1.0
111590047.png,0.213010773062706,0.7150905409207942
113370239.png,0.21879129111766815,0.7142641962290626
113590039.png,0.2388460338115692,0.7104665588029825
113590022.png,0.2388869673013687,0.663494041198645
113590031.png,0.25022217631340027,0.6637610770094422
113590021.png,0.2513316869735718,0.6959316562644746
113590026.png,0.25784367322921753,0.7019629748130836
113590051.png,0.280682235956192,0.7326246244714201
113590060.png,0.2860289216041565,0.7175120255606281
113590052.png,0.29308319091796875,0.6883891822678048
113590001.png,0.29445362091064453,0.6785258658740337
113590015.png,0.3019413948059082,0.698560268330254
113590061.png,0.3140111267566681,0.6990799427781922
111590062.png,0.3183216452598572,0.6995829499522246
113590047.png,0.32702508568763733,0.7288011567856127
113590044.png,0.32964470982551575,0.631134769670141
113590056.png,0.33111047744750977,0.685573878554129
113590003.png,0.3328951895236969,0.6621144122699718
111590028.png,0.3397703468799591,0.7032221966456083
113590032.png,0.3467194139957428,0.6941841749756639
110590455.png,0.3522278964519501,0.7310758172580492
112590452.png,0.35975828766822815,0.6597715739125565
113AB0018.png,0.36056071519851685,0.6071824646752372
113590004.png,0.36494725942611694,0.72874893887301
114054809.png,0.3655174970626831,0.6791210885884097
112590040.png,0.36766767501831055,0.6517740804143627
113590045.png,0.37027469277381897,0.6338296286355433
112590454.png,0.3767291009426117,0.6086700869083493
113590010.png,0.37872862815856934,0.6111137922150944
113590036.png,0.38131654262542725,0.6775104970336108
113590062.png,0.38778528571128845,0.6033144664106627
113590043.png,0.3882717490196228,0.7313964116967395
113590050.png,0.3922445774078369,0.5689760683887315
113590025.png,0.39616408944129944,0.7456111754032518
113AC1012.png,0.39816349744796753,0.6466474926589731
112590455.png,0.4004329442977905,0.6422446950185601
113590002.png,0.40491360425949097,0.6053102758661822
113590057.png,0.4073109030723572,0.620581118517164
113590006.png,0.41312867403030396,0.5889240406776035
111590042.png,0.4262271523475647,0.7451348252985628
113590028.png,0.43131324648857117,0.5593201832756727
113590018.png,0.4341800808906555,0.6126748589272086
113590023.png,0.43456941843032837,0.5356110231649774
113590059.png,0.4527708888053894,0.518289181795749
113590011.png,0.46064358949661255,0.5813826718656915
113590042.png,0.47391098737716675,0.571180819477515
113590049.png,0.5172987580299377,0.501935706811478
111590455.png,0.5548091530799866,0.5061259512279032
113590008.png,0.5811620354652405,0.4461961821168623
112590058.jpg,0.5856766104698181,0.4052531063159475
